,index,price,area,bedroom,bathroom,facade,nearhospital,nearschool,nearsupermarket,nearuniversity,nearbuildings,urgent,floor,district
189,200,5.2,55.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,BINH TAN
191,202,4.79,32.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,TAN BINH
192,203,4.0,40.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,THU DUC
193,204,2.7,40.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12
194,205,5.0,50.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,9
195,206,3.3,66.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,12
196,207,3.9,57.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12
197,208,3.3,60.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,12
198,209,2.9,44.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,BINH TAN
199,210,2.9,44.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,BINH TAN
200,211,5.5,50.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,5.0,GO VAP
201,212,1.9,18.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,BINH THANH
202,213,3.15,89.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,HOC MON
203,214,17.5,186.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9
204,215,16.0,173.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9
206,217,7.8,120.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,TAN PHU
207,218,7.8,45.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,TAN BINH
208,219,7.8,45.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,TAN BINH
209,220,3.15,89.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,HOC MON
210,221,5.7,81.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,TAN PHU
211,222,3.1,60.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,BINH TAN
212,223,5.2,80.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,GO VAP
213,226,4.5,42.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,GO VAP
214,227,4.8,55.0,4.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,TAN BINH
215,228,2.8,42.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,GO VAP
216,229,6.9,82.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,BINH THANH
219,232,16.0,93.0,4.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,THU DUC
220,233,4.54,56.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,TAN BINH
222,235,10.99,50.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,GO VAP
223,236,8.5,58.0,5.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,PHU NHUAN
224,237,15.38,160.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,TAN PHU
225,238,5.4,45.0,4.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,BINH THANH
226,239,4.9,56.0,4.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,TAN BINH
227,240,4.9,56.0,4.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,TAN BINH
