price,area,bedroom,bathroom,facade,urgent,floor,district,mean_land_price_of_district,facility
4.75,40.0,2.0,2.0,1.0,0.0,2.0,BINH THANH,0.11057247745426507,0.0
5.6,62.0,3.0,2.0,1.0,1.0,2.0,THU DUC,0.07739925980445196,0.0
5.3,42.0,3.0,3.0,0.0,1.0,2.0,BINH THANH,0.11057247745426507,0.0
1.99,14.0,1.0,2.0,0.0,1.0,1.0,PHU NHUAN,0.12307967709930681,0.0
4.5,35.0,3.0,3.0,0.0,0.0,4.0,TAN BINH,0.10818958685246544,1.0
2.6,60.0,2.0,2.0,0.0,0.0,1.0,THU DUC,0.07739925980445196,1.0
5.7,55.0,4.0,5.0,0.0,0.0,2.0,11,0.11410860554881458,0.0
7.6,96.0,1.0,1.0,1.0,0.0,2.0,BINH TAN,0.0799054007556501,2.0
7.5,80.0,1.0,1.0,1.0,0.0,2.0,BINH TAN,0.0799054007556501,2.0
7.9,70.0,1.0,1.0,1.0,0.0,2.0,BINH TAN,0.0799054007556501,1.0
2.25,28.0,2.0,1.0,0.0,1.0,2.0,9,0.0778805983721728,0.0
5.5,55.0,3.0,3.0,1.0,0.0,3.0,PHU NHUAN,0.12307967709930681,1.0
4.45,88.0,1.0,1.0,0.0,0.0,2.0,BINH TAN,0.0799054007556501,0.0
8.5,78.0,4.0,5.0,0.0,0.0,4.0,GO VAP,0.10348560001584498,0.0
6.0,65.0,3.0,2.0,1.0,1.0,2.0,THU DUC,0.07739925980445196,0.0
3.4,60.0,4.0,3.0,0.0,0.0,2.0,8,0.10265030798817504,2.0
6.68,43.0,4.0,3.0,1.0,0.0,4.0,GO VAP,0.10348560001584498,1.0
8.6,60.0,4.0,5.0,1.0,0.0,4.0,GO VAP,0.10348560001584498,0.0
1.9,27.0,2.0,1.0,0.0,1.0,2.0,TAN BINH,0.10818958685246544,0.0
6.6,64.0,2.0,2.0,1.0,0.0,2.0,BINH TAN,0.0799054007556501,0.0
4.8,65.0,4.0,3.0,1.0,1.0,2.0,GO VAP,0.10348560001584498,2.0
4.6,54.0,2.0,2.0,0.0,0.0,2.0,TAN PHU,0.08977856929214675,2.0
3.7,44.0,2.0,2.0,0.0,0.0,2.0,GO VAP,0.10348560001584498,0.0
4.9,60.0,4.0,3.0,1.0,0.0,3.0,THU DUC,0.07739925980445196,2.0
8.0,90.0,5.0,5.0,1.0,1.0,1.0,THU DUC,0.07739925980445196,1.0
